ETC_HSHLDCO,HOUSE_MANAGE_NO,HOUSE_TY,INSTT_RECOMEND_HSHLDCO,LFE_FRST_HSHLDCO,LTTOT_TOP_AMOUNT,MNYCH_HSHLDCO,MODEL_NO,NWBB_HSHLDCO,NWWDS_HSHLDCO,OLD_PARNTS_SUPORT_HSHLDCO,PBLANC_NO,SPSPLY_HSHLDCO,SUPLY_AR,SUPLY_HSHLDCO,TRANSR_INSTT_ENFSN_HSHLDCO,YGMN_HSHLDCO,special_supply_ratio,price_per_area,HOUSE_NM,HOUSE_SECD_NM,HOUSE_DTL_SECD_NM,SUBSCRPT_AREA_CODE_NM,HSSPLY_ADRES,TOT_SUPLY_HSHLDCO,RCRIT_PBLANC_DE,RCEPT_BGNDE,RCEPT_ENDDE,SPSPLY_RCEPT_BGNDE,SPSPLY_RCEPT_ENDDE,PRZWNER_PRESNATN_DE,RENT_SECD_NM,PARCPRC_ULS_AT,IMPRMN_BSNS_AT,PUBLIC_HOUSE_EARTH_AT,LRSCL_BLDLND_AT,max_competition_rate,mean_competition_rate,total_req_cnt,comp_rows,notice_year,notice_month,is_cap_price_area,is_redevelopment,is_public_housing_area
0,2026820003,055.8600A,0,0,49963,0,1,0,0,0,2026820003,113,79.7436,0,0,0,1.0,626.5455785793469,인천계양 A9블록 신혼희망타운(공공분양)(본청약),신혼희망타운,국민,인천,"인천광역시 계양구 귤현동, 동양동, 박촌동, 병방동, 상야동, 경기도 부천시 대장동, 서울특별시 강서구 오곡동 일원 인천계양 테크노밸리 공공주택지구 내 A9블록",317,2026-04-30,2026-05-18,2026-05-28,,,2026-06-18,분양주택,Y,N,Y,Y,,,,,2026,4,1,0,1
0,2026820003,055.4900B,0,0,49632,0,2,0,0,0,2026820003,37,79.2154,0,0,0,1.0,626.5448385036243,인천계양 A9블록 신혼희망타운(공공분양)(본청약),신혼희망타운,국민,인천,"인천광역시 계양구 귤현동, 동양동, 박촌동, 병방동, 상야동, 경기도 부천시 대장동, 서울특별시 강서구 오곡동 일원 인천계양 테크노밸리 공공주택지구 내 A9블록",317,2026-04-30,2026-05-18,2026-05-28,,,2026-06-18,분양주택,Y,N,Y,Y,,,,,2026,4,1,0,1
0,2026820003,055.9000C,0,0,49999,0,3,0,0,0,2026820003,16,79.8007,0,0,0,1.0,626.5483886732823,인천계양 A9블록 신혼희망타운(공공분양)(본청약),신혼희망타운,국민,인천,"인천광역시 계양구 귤현동, 동양동, 박촌동, 병방동, 상야동, 경기도 부천시 대장동, 서울특별시 강서구 오곡동 일원 인천계양 테크노밸리 공공주택지구 내 A9블록",317,2026-04-30,2026-05-18,2026-05-28,,,2026-06-18,분양주택,Y,N,Y,Y,,,,,2026,4,1,0,1
0,2026820002,055.0000A,0,0,42374,0,1,0,0,0,2026820002,180,81.0064,0,0,0,1.0,523.0944715479271,시흥하중지구 A1블록 신혼희망타운(공공분양)(본청약),신혼희망타운,국민,경기,경기도 시흥시 하중동 일원 시흥하중 공공주택지구 내 A1블록,400,2026-04-30,2026-05-18,2026-06-02,,,2026-06-11,분양주택,Y,N,Y,N,,,,,2026,4,1,0,1
0,2026820002,055.0000B,0,0,42215,0,2,0,0,0,2026820002,15,80.7024,0,0,0,1.0,523.094728285652,시흥하중지구 A1블록 신혼희망타운(공공분양)(본청약),신혼희망타운,국민,경기,경기도 시흥시 하중동 일원 시흥하중 공공주택지구 내 A1블록,400,2026-04-30,2026-05-18,2026-06-02,,,2026-06-11,분양주택,Y,N,Y,N,,,,,2026,4,1,0,1
0,2026820002,055.0000C,0,0,42298,0,3,0,0,0,2026820002,9,80.8616,0,0,0,1.0,523.0913066276206,시흥하중지구 A1블록 신혼희망타운(공공분양)(본청약),신혼희망타운,국민,경기,경기도 시흥시 하중동 일원 시흥하중 공공주택지구 내 A1블록,400,2026-04-30,2026-05-18,2026-06-02,,,2026-06-11,분양주택,Y,N,Y,N,,,,,2026,4,1,0,1
7,2026000193,059.0000A,4,5,52678,3,1,6,3,1,2026000193,29,82.4529,8,0,0,0.7837837837837838,638.8859579226444,남양주왕숙2 A-3블록 공공분양주택(본청약),APT,국민,경기,"경기도 남양주시 일패동, 이패동 일원 남양주왕숙2 공공주택지구내 A-3블록",686,2026-04-30,2026-05-18,2026-05-29,,,2026-06-15,분양주택,Y,N,Y,Y,,,,,2026,4,1,0,1
5,2026000193,059.0000B,5,4,52793,3,2,6,3,1,2026000193,27,82.6322,7,0,0,0.7941176470588235,638.8913764851959,남양주왕숙2 A-3블록 공공분양주택(본청약),APT,국민,경기,"경기도 남양주시 일패동, 이패동 일원 남양주왕숙2 공공주택지구내 A-3블록",686,2026-04-30,2026-05-18,2026-05-29,,,2026-06-15,분양주택,Y,N,Y,Y,,,,,2026,4,1,0,1
4,2026000193,074.0000A,2,2,64611,2,3,3,1,1,2026000193,15,103.1317,4,0,0,0.7894736842105263,626.490206212057,남양주왕숙2 A-3블록 공공분양주택(본청약),APT,국민,경기,"경기도 남양주시 일패동, 이패동 일원 남양주왕숙2 공공주택지구내 A-3블록",686,2026-04-30,2026-05-18,2026-05-29,,,2026-06-15,분양주택,Y,N,Y,Y,,,,,2026,4,1,0,1
36,2026000193,084.0000A,1,0,73245,0,4,1,0,0,2026000193,38,116.9129,1,0,0,0.9743589743589743,626.4920295365182,남양주왕숙2 A-3블록 공공분양주택(본청약),APT,국민,경기,"경기도 남양주시 일패동, 이패동 일원 남양주왕숙2 공공주택지구내 A-3블록",686,2026-04-30,2026-05-18,2026-05-29,,,2026-06-15,분양주택,Y,N,Y,Y,,,,,2026,4,1,0,1
