CMPET_RATE,HOUSE_MANAGE_NO,HOUSE_TY,MODEL_NO,PBLANC_NO,REQ_CNT,RESIDE_SECD,RESIDE_SENM,SUBSCRPT_RANK_CODE,SUPLY_HSHLDCO
1.22,2026000152,059.9000A,01,2026000152,206,01,해당지역,1,169
-,2026000152,059.9000A,01,2026000152,256,02,기타지역,1,169
-,2026000152,059.9000A,01,2026000152,32,01,해당지역,2,169
-,2026000152,059.9000A,01,2026000152,83,02,기타지역,2,169
1.34,2026000152,059.7700B,02,2026000152,63,01,해당지역,1,47
-,2026000152,059.7700B,02,2026000152,92,02,기타지역,1,47
-,2026000152,059.7700B,02,2026000152,17,01,해당지역,2,47
-,2026000152,059.7700B,02,2026000152,24,02,기타지역,2,47
(△70),2026000152,074.6300A,03,2026000152,91,01,해당지역,1,161
1.26,2026000152,074.6300A,03,2026000152,88,02,기타지역,1,161
-,2026000152,074.6300A,03,2026000152,23,01,해당지역,2,161
-,2026000152,074.6300A,03,2026000152,29,02,기타지역,2,161
(△1),2026000152,074.3000B,04,2026000152,63,01,해당지역,1,64
45.00,2026000152,074.3000B,04,2026000152,45,02,기타지역,1,64
-,2026000152,074.3000B,04,2026000152,7,01,해당지역,2,64
-,2026000152,074.3000B,04,2026000152,10,02,기타지역,2,64
2.41,2026000152,084.3400A,05,2026000152,82,01,해당지역,1,34
-,2026000152,084.3400A,05,2026000152,94,02,기타지역,1,34
-,2026000152,084.3400A,05,2026000152,26,01,해당지역,2,34
-,2026000152,084.3400A,05,2026000152,20,02,기타지역,2,34
(△5),2026000152,084.6000B,06,2026000152,17,01,해당지역,1,22
2.20,2026000152,084.6000B,06,2026000152,11,02,기타지역,1,22
-,2026000152,084.6000B,06,2026000152,11,01,해당지역,2,22
-,2026000152,084.6000B,06,2026000152,10,02,기타지역,2,22
5.37,2026000150,084.9563A,01,2026000150,1139,01,해당지역,1,212
-,2026000150,084.9563A,01,2026000150,132,02,기타지역,1,212
-,2026000150,084.9563A,01,2026000150,134,01,해당지역,2,212
-,2026000150,084.9563A,01,2026000150,52,02,기타지역,2,212
1.33,2026000150,084.9527B,02,2026000150,198,01,해당지역,1,149
-,2026000150,084.9527B,02,2026000150,21,02,기타지역,1,149
-,2026000150,084.9527B,02,2026000150,22,01,해당지역,2,149
-,2026000150,084.9527B,02,2026000150,13,02,기타지역,2,149
5.35,2026000150,111.1359 ,03,2026000150,797,01,해당지역,1,149
-,2026000150,111.1359 ,03,2026000150,81,02,기타지역,1,149
-,2026000150,111.1359 ,03,2026000150,63,01,해당지역,2,149
-,2026000150,111.1359 ,03,2026000150,15,02,기타지역,2,149
48.27,2026000149,084.9563A,01,2026000149,4634,01,해당지역,1,96
-,2026000149,084.9563A,01,2026000149,535,02,기타지역,1,96
-,2026000149,084.9563A,01,2026000149,0,01,해당지역,2,96
-,2026000149,084.9563A,01,2026000149,0,02,기타지역,2,96
32.56,2026000149,084.9527B,02,2026000149,1270,01,해당지역,1,39
-,2026000149,084.9527B,02,2026000149,180,02,기타지역,1,39
-,2026000149,084.9527B,02,2026000149,0,01,해당지역,2,39
-,2026000149,084.9527B,02,2026000149,0,02,기타지역,2,39
12.52,2026000149,111.1359 ,03,2026000149,3056,01,해당지역,1,244
-,2026000149,111.1359 ,03,2026000149,281,02,기타지역,1,244
-,2026000149,111.1359 ,03,2026000149,0,01,해당지역,2,244
-,2026000149,111.1359 ,03,2026000149,0,02,기타지역,2,244
(△55),2026000146,059.9174 ,01,2026000146,8,01,해당지역,1,63
(△52),2026000146,059.9174 ,01,2026000146,3,02,기타지역,1,63
(△51),2026000146,059.9174 ,01,2026000146,1,01,해당지역,2,63
(△51),2026000146,059.9174 ,01,2026000146,0,02,기타지역,2,63
(△69),2026000146,070.7905 ,02,2026000146,5,01,해당지역,1,74
(△69),2026000146,070.7905 ,02,2026000146,0,02,기타지역,1,74
(△66),2026000146,070.7905 ,02,2026000146,3,01,해당지역,2,74
(△66),2026000146,070.7905 ,02,2026000146,0,02,기타지역,2,74
(△2),2026000143,026.9146 ,01,2026000143,2,01,해당지역,1,4
(△1),2026000143,026.9146 ,01,2026000143,1,02,기타지역,1,4
3.00,2026000143,026.9146 ,01,2026000143,3,01,해당지역,2,4
-,2026000143,026.9146 ,01,2026000143,1,02,기타지역,2,4
(△1),2026000143,046.7967 ,02,2026000143,0,01,해당지역,1,1
1.00,2026000143,046.7967 ,02,2026000143,1,02,기타지역,1,1
-,2026000143,046.7967 ,02,2026000143,1,01,해당지역,2,1
-,2026000143,046.7967 ,02,2026000143,2,02,기타지역,2,1
(△32),2026000143,059.8551A,03,2026000143,3,01,해당지역,1,35
(△25),2026000143,059.8551A,03,2026000143,7,02,기타지역,1,35
(△24),2026000143,059.8551A,03,2026000143,1,01,해당지역,2,35
(△21),2026000143,059.8551A,03,2026000143,3,02,기타지역,2,35
(△2),2026000143,059.8387B,04,2026000143,0,01,해당지역,1,2
1.50,2026000143,059.8387B,04,2026000143,3,02,기타지역,1,2
-,2026000143,059.8387B,04,2026000143,0,01,해당지역,2,2
-,2026000143,059.8387B,04,2026000143,0,02,기타지역,2,2
(△7),2026000143,074.9777 ,05,2026000143,1,01,해당지역,1,8
(△6),2026000143,074.9777 ,05,2026000143,1,02,기타지역,1,8
(△4),2026000143,074.9777 ,05,2026000143,2,01,해당지역,2,8
(△4),2026000143,074.9777 ,05,2026000143,0,02,기타지역,2,8
(△6),2026000130,069.7157A,01,2026000130,2,01,해당지역,1,8
(△6),2026000130,069.7157A,01,2026000130,0,02,기타지역,1,8
(△5),2026000130,069.7157A,01,2026000130,1,01,해당지역,2,8
(△5),2026000130,069.7157A,01,2026000130,0,02,기타지역,2,8
(△3),2026000130,084.9163A,02,2026000130,1,01,해당지역,1,4
(△3),2026000130,084.9163A,02,2026000130,0,02,기타지역,1,4
(△1),2026000130,084.9163A,02,2026000130,2,01,해당지역,2,4
(△1),2026000130,084.9163A,02,2026000130,0,02,기타지역,2,4
(△4),2026000130,084.7589B,03,2026000130,0,01,해당지역,1,4
(△4),2026000130,084.7589B,03,2026000130,0,02,기타지역,1,4
(△4),2026000130,084.7589B,03,2026000130,0,01,해당지역,2,4
(△4),2026000130,084.7589B,03,2026000130,0,02,기타지역,2,4
(△3),2026000130,084.1386C,04,2026000130,1,01,해당지역,1,4
(△3),2026000130,084.1386C,04,2026000130,0,02,기타지역,1,4
(△2),2026000130,084.1386C,04,2026000130,1,01,해당지역,2,4
(△2),2026000130,084.1386C,04,2026000130,0,02,기타지역,2,4
(△4),2026000130,084.9333D,05,2026000130,0,01,해당지역,1,4
(△4),2026000130,084.9333D,05,2026000130,0,02,기타지역,1,4
(△4),2026000130,084.9333D,05,2026000130,0,01,해당지역,2,4
(△4),2026000130,084.9333D,05,2026000130,0,02,기타지역,2,4
(△2),2026000130,084.8300E,06,2026000130,0,01,해당지역,1,2
(△2),2026000130,084.8300E,06,2026000130,0,02,기타지역,1,2
(△2),2026000130,084.8300E,06,2026000130,0,01,해당지역,2,2
(△2),2026000130,084.8300E,06,2026000130,0,02,기타지역,2,2
(△5),2026000130,084.1140F,07,2026000130,1,01,해당지역,1,6
(△5),2026000130,084.1140F,07,2026000130,0,02,기타지역,1,6
(△5),2026000130,084.1140F,07,2026000130,0,01,해당지역,2,6
(△5),2026000130,084.1140F,07,2026000130,0,02,기타지역,2,6
(△14),2026000130,099.9896A,08,2026000130,0,01,해당지역,1,14
(△14),2026000130,099.9896A,08,2026000130,0,02,기타지역,1,14
(△13),2026000130,099.9896A,08,2026000130,1,01,해당지역,2,14
(△13),2026000130,099.9896A,08,2026000130,0,02,기타지역,2,14
(△2),2026000130,099.2980D,09,2026000130,1,01,해당지역,1,3
(△2),2026000130,099.2980D,09,2026000130,0,02,기타지역,1,3
(△1),2026000130,099.2980D,09,2026000130,1,01,해당지역,2,3
(△1),2026000130,099.2980D,09,2026000130,0,02,기타지역,2,3
14.48,2026000129,059.9015A,01,2026000129,333,01,해당지역,1,23
-,2026000129,059.9015A,01,2026000129,70,02,기타지역,1,23
-,2026000129,059.9015A,01,2026000129,0,01,해당지역,2,23
-,2026000129,059.9015A,01,2026000129,0,02,기타지역,2,23
5.82,2026000129,059.7714B,02,2026000129,262,01,해당지역,1,45
-,2026000129,059.7714B,02,2026000129,60,02,기타지역,1,45
-,2026000129,059.7714B,02,2026000129,0,01,해당지역,2,45
-,2026000129,059.7714B,02,2026000129,0,02,기타지역,2,45
14.79,2026000129,084.6688A,03,2026000129,1568,01,해당지역,1,106
-,2026000129,084.6688A,03,2026000129,222,02,기타지역,1,106
