BSNS_MBY_NM,CNSTRCT_ENTRPS_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,GNRL_RNK1_CRSPAREA_ENDDE,GNRL_RNK1_CRSPAREA_RCPTDE,GNRL_RNK1_ETC_AREA_ENDDE,GNRL_RNK1_ETC_AREA_RCPTDE,GNRL_RNK1_ETC_GG_ENDDE,GNRL_RNK1_ETC_GG_RCPTDE,GNRL_RNK2_CRSPAREA_ENDDE,GNRL_RNK2_CRSPAREA_RCPTDE,GNRL_RNK2_ETC_AREA_ENDDE,GNRL_RNK2_ETC_AREA_RCPTDE,GNRL_RNK2_ETC_GG_ENDDE,GNRL_RNK2_ETC_GG_RCPTDE,HMPG_ADRES,HOUSE_DTL_SECD,HOUSE_DTL_SECD_NM,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,IMPRMN_BSNS_AT,LRSCL_BLDLND_AT,MDAT_TRGET_AREA_SECD,MDHS_TELNO,MVN_PREARNGE_YM,NPLN_PRVOPR_PUBLIC_HOUSE_AT,NSPRC_NM,PARCPRC_ULS_AT,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,PUBLIC_HOUSE_EARTH_AT,PUBLIC_HOUSE_SPCLW_APPLC_AT,RCEPT_BGNDE,RCEPT_ENDDE,RCRIT_PBLANC_DE,RENT_SECD,RENT_SECD_NM,SPECLT_RDN_EARTH_AT,SPSPLY_RCEPT_BGNDE,SPSPLY_RCEPT_ENDDE,SUBSCRPT_AREA_CODE,SUBSCRPT_AREA_CODE_NM,TOT_SUPLY_HSHLDCO
원종동성락아파트가로주택정비사업조합,중앙건설 주식회사,2026-06-08,2026-06-10,2026-05-19,2026-05-19,2026-05-19,2026-05-19,,,2026-05-20,2026-05-20,2026-05-20,2026-05-20,,,https://www.중앙하이츠원종역.com,01,민영,2026000178,중앙하이츠 원종역,01,APT,경기도 부천시 오정구 원종동 276-2,14420,Y,N,N,0326782399,202803,N,문화일보,N,2026000178,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2026000178&pblancNo=2026000178,2026-05-27,N,N,2026-05-18,2026-05-20,2026-05-08,0,분양주택,N,2026-05-18,2026-05-18,410,경기,78
구포7구역지역주택조합,두산건설 주식회사,2026-06-08,2026-06-10,2026-05-19,2026-05-19,2026-05-19,2026-05-19,,,2026-05-20,2026-05-20,2026-05-20,2026-05-20,,,https://www.두산위브트리니뷰구명역.com,01,민영,2026000172,두산위브 트리니뷰 구명역,01,APT,부산광역시 북구 구포동 999번지 일원,46502,N,N,N,15224377,202905,N,아시아경제,N,2026000172,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2026000172&pblancNo=2026000172,2026-05-27,N,N,2026-05-18,2026-05-20,2026-05-08,0,분양주택,N,2026-05-18,2026-05-18,600,부산,288
동남지역주택조합,㈜한양건설,2026-06-08,2026-06-11,2026-05-19,2026-05-19,2026-05-19,2026-05-19,,,2026-05-20,2026-05-20,2026-05-20,2026-05-20,,,https://cjhanyangleeps.com/,01,민영,2026000132,청주 한양립스 더 벨루체,01,APT,충청북도 청주시 상당구 지북동 247번지 외 83필지,28759,N,N,N,15770505,203003,N,국민일보,N,2026000132,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2026000132&pblancNo=2026000132,2026-05-27,N,N,2026-05-18,2026-05-20,2026-05-08,0,분양주택,N,2026-05-18,2026-05-18,360,충북,417
케이비부동산신탁(주),㈜포스코이앤씨,2026-06-13,2026-06-16,2026-05-20,2026-05-20,2026-05-20,2026-05-20,,,2026-05-21,2026-05-21,2026-05-21,2026-05-21,,,https://더샵송도그란테르.kr,01,민영,2026000169,더샵 송도그란테르 G5-11블록,01,APT,인천광역시 연수구 송도동 32-15 (G5-11BL),22008,N,Y,N,16000255,202908,N,내일신문,N,2026000169,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2026000169&pblancNo=2026000169,2026-06-01,N,N,2026-05-19,2026-05-21,2026-05-07,0,분양주택,N,2026-05-19,2026-05-19,400,인천,318
케이비부동산신탁(주),㈜포스코이앤씨,2026-06-13,2026-06-16,2026-05-20,2026-05-20,2026-05-20,2026-05-20,,,2026-05-21,2026-05-21,2026-05-21,2026-05-21,,,https://더샵송도그란테르.kr,01,민영,2026000168,더샵 송도그란테르 G5-6블록,01,APT,"인천광역시 연수구 송도동 32-3, 6 (G5-6BL)",22008,N,Y,N,16000255,203001,N,헤럴드경제신문,N,2026000168,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2026000168&pblancNo=2026000168,2026-06-02,N,N,2026-05-19,2026-05-21,2026-05-07,0,분양주택,N,2026-05-19,2026-05-19,400,인천,100
케이비부동산신탁(주),㈜포스코이앤씨,2026-06-13,2026-06-16,2026-05-20,2026-05-20,2026-05-20,2026-05-20,,,2026-05-21,2026-05-21,2026-05-21,2026-05-21,,,https://더샵송도그란테르.kr,01,민영,2026000167,더샵 송도그란테르 G5-5블록,01,APT,인천광역시 연수구 송도동 32-8 (G5-5BL),22008,N,Y,N,16000255,203001,N,헤럴드경제신문,N,2026000167,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2026000167&pblancNo=2026000167,2026-06-01,N,N,2026-05-19,2026-05-21,2026-05-07,0,분양주택,N,2026-05-19,2026-05-19,400,인천,97
케이비부동산신탁(주),㈜포스코이앤씨,2026-06-13,2026-06-16,2026-05-20,2026-05-20,2026-05-20,2026-05-20,,,2026-05-21,2026-05-21,2026-05-21,2026-05-21,,,https://더샵송도그란테르.kr,01,민영,2026000166,더샵 송도그란테르 G5-4블록,01,APT,인천광역시 연수구 송도동 32-10 (G5-4BL),22008,N,Y,N,16000255,203001,N,아시아경제,N,2026000166,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2026000166&pblancNo=2026000166,2026-06-02,N,N,2026-05-19,2026-05-21,2026-05-07,0,분양주택,N,2026-05-19,2026-05-19,400,인천,91
케이비부동산신탁(주),㈜포스코이앤씨,2026-06-13,2026-06-16,2026-05-20,2026-05-20,2026-05-20,2026-05-20,,,2026-05-21,2026-05-21,2026-05-21,2026-05-21,,,https://더샵송도그란테르.kr,01,민영,2026000165,더샵 송도그란테르 G5-3블록,01,APT,인천광역시 연수구 송도동 32-12 (G5-3BL),22008,N,Y,N,16000255,203001,N,아시아경제,N,2026000165,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2026000165&pblancNo=2026000165,2026-06-02,N,N,2026-05-19,2026-05-21,2026-05-07,0,분양주택,N,2026-05-19,2026-05-19,400,인천,85
케이비부동산신탁(주),㈜포스코이앤씨,2026-06-13,2026-06-16,2026-05-20,2026-05-20,2026-05-20,2026-05-20,,,2026-05-21,2026-05-21,2026-05-21,2026-05-21,,,https://더샵송도그란테르.kr,01,민영,2026000164,더샵 송도그란테르 G5-1블록,01,APT,"인천광역시 연수구 송도동 32-1, 4 (G5-1BL)",22008,N,Y,N,16000255,202908,N,문화일보,N,2026000164,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2026000164&pblancNo=2026000164,2026-05-28,N,N,2026-05-19,2026-05-21,2026-05-07,0,분양주택,N,2026-05-19,2026-05-19,400,인천,853
주식회사 하나자산신탁,현대엔지니어링(주),2026-06-09,2026-06-11,2026-05-19,2026-05-19,2026-05-19,2026-05-19,,,2026-05-20,2026-05-20,2026-05-20,2026-05-20,,,https://www.hillstate-hec.co.kr/s/guweol,01,민영,2026000147,힐스테이트 구월아트파크,01,APT,인천광역시 남동구 구월동 1455번지,21573,N,N,N,15512496,203010,N,헤럴드경제신문,N,2026000147,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2026000147&pblancNo=2026000147,2026-05-28,N,N,2026-05-18,2026-05-20,2026-05-06,0,분양주택,N,2026-05-18,2026-05-18,400,인천,496
