ETC_HSHLDCO,HOUSE_MANAGE_NO,HOUSE_TY,INSTT_RECOMEND_HSHLDCO,LFE_FRST_HSHLDCO,LTTOT_TOP_AMOUNT,MNYCH_HSHLDCO,MODEL_NO,NWBB_HSHLDCO,NWWDS_HSHLDCO,OLD_PARNTS_SUPORT_HSHLDCO,PBLANC_NO,SPSPLY_HSHLDCO,SUPLY_AR,SUPLY_HSHLDCO,TRANSR_INSTT_ENFSN_HSHLDCO,YGMN_HSHLDCO
0,2026820003,055.8600A,0,0,49963,0,01,0,0,0,2026820003,113,79.7436,0,0,0
0,2026820003,055.4900B,0,0,49632,0,02,0,0,0,2026820003,37,79.2154,0,0,0
0,2026820003,055.9000C,0,0,49999,0,03,0,0,0,2026820003,16,79.8007,0,0,0
0,2026820002,055.0000A,0,0,42374,0,01,0,0,0,2026820002,180,81.0064,0,0,0
0,2026820002,055.0000B,0,0,42215,0,02,0,0,0,2026820002,15,80.7024,0,0,0
0,2026820002,055.0000C,0,0,42298,0,03,0,0,0,2026820002,9,80.8616,0,0,0
7,2026000193,059.0000A,4,5,52678,3,01,6,3,1,2026000193,29,82.4529,8,0,0
5,2026000193,059.0000B,5,4,52793,3,02,6,3,1,2026000193,27,82.6322,7,0,0
4,2026000193,074.0000A,2,2,64611,2,03,3,1,1,2026000193,15,103.1317,4,0,0
36,2026000193,084.0000A,1,0,73245,0,04,1,0,0,2026000193,38,116.9129,1,0,0
0,2026000185,067.7016A,0,0,14425,0,01,0,0,0,2026000185,0,93.1853,96,0,0
0,2026000185,067.8493B,0,0,14315,0,02,0,0,0,2026000185,0,92.9847,101,0,0
0,2026000185,084.9785A,0,0,17563,0,03,0,0,0,2026000185,0,111.0259,77,0,0
0,2026000185,084.9948B,0,0,17671,0,04,0,0,0,2026000185,0,110.8278,76,0,0
0,2026000185,084.9134C,0,0,17360,0,05,0,0,0,2026000185,0,111.3624,26,0,0
0,2026000178,059.6000E,0,1,47900,0,01,0,0,0,2026000178,1,77.7020,1,0,0
0,2026000178,060.2700E,2,3,48240,0,02,0,3,0,2026000178,8,77.9650,5,0,0
0,2026000178,063.3700D,1,1,50140,0,03,0,2,0,2026000178,4,81.1390,6,0,0
0,2026000178,063.7900H,1,2,51370,0,04,0,5,0,2026000178,8,83.0920,8,0,0
0,2026000178,066.7400G,1,0,53040,0,05,0,1,0,2026000178,2,85.7970,1,0,0
0,2026000178,068.6700B,1,0,54540,3,06,0,3,0,2026000178,7,88.2890,5,0,0
0,2026000178,068.1800F,2,0,53840,3,07,0,4,1,2026000178,10,87.1520,7,0,0
0,2026000178,069.5600A,0,0,56070,2,08,0,0,1,2026000178,3,90.7160,2,0,0
0,2026000174,084.9627A,12,11,79831,12,01,0,28,4,2026000174,67,117.2675,51,0,0
0,2026000174,084.9982B,12,11,79099,12,02,0,27,4,2026000174,66,116.2428,49,0,0
0,2026000174,084.9651C,6,6,78493,6,03,0,14,2,2026000174,34,116.5126,26,0,0
0,2026000174,142.5518 ,0,0,150508,0,04,0,0,0,2026000174,0,198.3732,2,0,0
0,2026000174,167.4697 ,0,0,173716,0,05,0,0,0,2026000174,0,229.2154,4,0,0
0,2026000172,074.9671A,2,2,68700,10,01,0,7,0,2026000172,21,101.8298,3,0,0
0,2026000172,074.9653B,2,1,67200,8,02,0,5,0,2026000172,16,101.6949,2,0,0
0,2026000172,084.9841A,18,16,75900,80,03,0,53,6,2026000172,173,114.1556,7,0,0
0,2026000172,084.9794B,3,3,75900,11,04,0,8,1,2026000172,26,114.7040,1,0,0
0,2026000172,084.9830C,3,4,75900,17,05,0,11,1,2026000172,36,113.8823,3,0,0
0,2026000170,066.9412 ,4,3,36700,4,01,0,9,2,2026000170,22,89.7412,20,0,0
0,2026000170,084.9644A,9,8,45400,9,02,0,22,3,2026000170,51,114.0591,47,0,0
0,2026000170,084.9697B,17,15,45400,17,03,0,39,6,2026000170,94,114.3423,78,0,0
0,2026000170,084.9689C,4,4,44800,4,04,0,11,2,2026000170,25,114.4586,23,0,0
0,2026000170,117.5756 ,0,0,63700,10,05,0,0,4,2026000170,14,155.6668,92,0,0
3,2026000169,084.8600H,3,3,123300,3,01,0,7,1,2026000169,20,109.3535,14,0,0
3,2026000169,084.7800I,3,3,124100,3,02,0,8,1,2026000169,21,110.0848,15,0,0
3,2026000169,084.5600J,3,3,124000,3,03,0,8,1,2026000169,21,109.9432,15,0,0
3,2026000169,100.9800A,0,0,150000,3,04,0,0,1,2026000169,7,130.6944,27,0,0
3,2026000169,100.5800B,0,0,146100,3,05,0,0,1,2026000169,7,129.7106,27,0,0
3,2026000169,100.9500C,0,0,147300,3,06,0,0,1,2026000169,7,130.7974,29,0,0
3,2026000169,124.7300H,0,0,181900,3,07,0,0,1,2026000169,7,160.8749,27,0,0
3,2026000169,124.8300I,0,0,181900,3,08,0,0,1,2026000169,7,160.8783,29,0,0
3,2026000169,128.1100H,0,0,184100,3,09,0,0,1,2026000169,7,165.1576,29,0,0
0,2026000169,198.8600C,0,0,334500,0,10,0,0,0,2026000169,0,257.9288,2,0,0
3,2026000168,084.2300K,3,2,130600,3,01,0,7,0,2026000168,18,116.4041,14,0,0
6,2026000168,118.2300K,0,0,187100,6,02,0,0,1,2026000168,13,163.2081,51,0,0
0,2026000168,129.4600K,0,0,223800,0,03,0,0,0,2026000168,0,182.2177,1,0,0
0,2026000168,188.7900K,0,0,315700,0,04,0,0,0,2026000168,0,263.7154,2,0,0
0,2026000168,198.2300K,0,0,336900,0,05,0,0,0,2026000168,0,275.4418,1,0,0
3,2026000167,084.2300K,3,2,128100,3,01,0,7,0,2026000167,18,116.5410,13,0,0
6,2026000167,118.2300K,0,0,183500,6,02,0,0,1,2026000167,13,163.4003,49,0,0
0,2026000167,129.4600K,0,0,212200,0,03,0,0,0,2026000167,0,182.4269,1,0,0
0,2026000167,188.7900K,0,0,316600,0,04,0,0,0,2026000167,0,264.0253,2,0,0
0,2026000167,198.2300K,0,0,331500,0,05,0,0,0,2026000167,0,275.7629,1,0,0
2,2026000166,084.2300K,2,2,125100,2,01,0,6,0,2026000166,14,116.8412,15,0,0
5,2026000166,118.2300K,0,0,179300,5,02,0,0,1,2026000166,11,163.8218,47,0,0
0,2026000166,129.4600K,0,0,214600,0,03,0,0,0,2026000166,0,182.8884,1,0,0
0,2026000166,188.7900K,0,0,302900,0,04,0,0,0,2026000166,0,264.6965,2,0,0
0,2026000166,198.2300K,0,0,324300,0,05,0,0,0,2026000166,0,276.4695,1,0,0
2,2026000165,084.2300K,2,2,126400,2,01,0,6,0,2026000165,14,117.3654,13,0,0
5,2026000165,118.2300K,0,0,181200,5,02,0,0,1,2026000165,11,164.5575,43,0,0
0,2026000165,129.4600K,0,0,211400,0,03,0,0,0,2026000165,0,183.6940,1,0,0
