AVRG_SCORE,HOUSE_MANAGE_NO,HOUSE_TY,LWET_SCORE,MODEL_NO,PBLANC_NO,RESIDE_SECD,RESIDE_SENM,TOP_SCORE
-,2026000124,074.5900A,-,01,2026000124,01,해당지역,-
-,2026000124,074.5900A,-,01,2026000124,02,기타지역,-
-,2026000124,074.5900A,-,01,2026000124,03,기타경기,-
-,2026000124,074.7200B,-,02,2026000124,01,해당지역,-
-,2026000124,074.7200B,-,02,2026000124,02,기타지역,-
-,2026000124,074.7200B,-,02,2026000124,03,기타경기,-
-,2026000124,084.5600A,-,03,2026000124,01,해당지역,-
-,2026000124,084.5600A,-,03,2026000124,02,기타지역,-
-,2026000124,084.5600A,-,03,2026000124,03,기타경기,-
-,2026000124,084.5600B,-,04,2026000124,01,해당지역,-
-,2026000124,084.5600B,-,04,2026000124,02,기타지역,-
-,2026000124,084.5600B,-,04,2026000124,03,기타경기,-
-,2026000124,084.9400C,-,05,2026000124,01,해당지역,-
-,2026000124,084.9400C,-,05,2026000124,02,기타지역,-
-,2026000124,084.9400C,-,05,2026000124,03,기타경기,-
-,2026000121,084.9421A,-,01,2026000121,01,해당지역,-
-,2026000121,084.9421A,-,01,2026000121,02,기타지역,-
-,2026000121,084.8550B,-,02,2026000121,01,해당지역,-
-,2026000121,084.8550B,-,02,2026000121,02,기타지역,-
-,2026000121,084.8958C,-,03,2026000121,01,해당지역,-
-,2026000121,084.8958C,-,03,2026000121,02,기타지역,-
-,2026000121,104.9032 ,-,04,2026000121,01,해당지역,-
-,2026000121,104.9032 ,-,04,2026000121,02,기타지역,-
45,2026000115,074.9524A,45,01,2026000115,01,해당지역,45
0,2026000115,074.9524A,0,01,2026000115,02,기타지역,0
59.3,2026000115,084.7657A,52,02,2026000115,01,해당지역,69
0,2026000115,084.7657A,0,02,2026000115,02,기타지역,0
42.8,2026000115,084.7696B,33,03,2026000115,01,해당지역,60
0,2026000115,084.7696B,0,03,2026000115,02,기타지역,0
65.25,2026000114,048.6543 ,63,01,2026000114,01,해당지역,69
0,2026000114,048.6543 ,0,01,2026000114,02,기타지역,0
69,2026000114,052.7960A,69,02,2026000114,01,해당지역,69
0,2026000114,052.7960A,0,02,2026000114,02,기타지역,0
73,2026000114,052.7960B,73,03,2026000114,01,해당지역,73
0,2026000114,052.7960B,0,03,2026000114,02,기타지역,0
62,2026000114,052.7960C,62,04,2026000114,01,해당지역,62
0,2026000114,052.7960C,0,04,2026000114,02,기타지역,0
69,2026000114,059.9880A,69,05,2026000114,01,해당지역,69
0,2026000114,059.9880A,0,05,2026000114,02,기타지역,0
67.42,2026000114,059.2820B,65,06,2026000114,01,해당지역,69
0,2026000114,059.2820B,0,06,2026000114,02,기타지역,0
-,2026000113,102.7378 ,-,01,2026000113,01,해당지역,-
-,2026000113,102.7378 ,-,01,2026000113,02,기타지역,-
-,2026000113,102.7378 ,-,01,2026000113,03,기타경기,-
-,2026000113,102.7378P,-,02,2026000113,01,해당지역,-
-,2026000113,102.7378P,-,02,2026000113,02,기타지역,-
-,2026000113,102.7378P,-,02,2026000113,03,기타경기,-
-,2026000113,108.7178 ,-,03,2026000113,01,해당지역,-
-,2026000113,108.7178 ,-,03,2026000113,02,기타지역,-
-,2026000113,108.7178 ,-,03,2026000113,03,기타경기,-
-,2026000113,115.1988 ,-,04,2026000113,01,해당지역,-
-,2026000113,115.1988 ,-,04,2026000113,02,기타지역,-
-,2026000113,115.1988 ,-,04,2026000113,03,기타경기,-
-,2026000113,115.1988P,-,05,2026000113,01,해당지역,-
-,2026000113,115.1988P,-,05,2026000113,02,기타지역,-
-,2026000113,115.1988P,-,05,2026000113,03,기타경기,-
-,2026000113,116.4757T,-,06,2026000113,01,해당지역,-
-,2026000113,116.4757T,-,06,2026000113,02,기타지역,-
-,2026000113,116.4757T,-,06,2026000113,03,기타경기,-
-,2026000113,118.1488 ,-,07,2026000113,01,해당지역,-
-,2026000113,118.1488 ,-,07,2026000113,02,기타지역,-
-,2026000113,118.1488 ,-,07,2026000113,03,기타경기,-
0,2026000112,059.9010 ,0,01,2026000112,01,해당지역,0
34.75,2026000112,059.9010 ,28,01,2026000112,02,기타지역,41
-,2026000112,075.7753A,-,02,2026000112,01,해당지역,-
-,2026000112,075.7753A,-,02,2026000112,02,기타지역,-
-,2026000112,075.7218B,-,03,2026000112,01,해당지역,-
-,2026000112,075.7218B,-,03,2026000112,02,기타지역,-
-,2026000112,084.7910A,-,04,2026000112,01,해당지역,-
-,2026000112,084.7910A,-,04,2026000112,02,기타지역,-
-,2026000112,084.7677B,-,05,2026000112,01,해당지역,-
-,2026000112,084.7677B,-,05,2026000112,02,기타지역,-
60.96,2026000110,076.2548A,56,01,2026000110,01,해당지역,69
0,2026000110,076.2548A,0,01,2026000110,02,기타지역,0
65.9,2026000110,084.9621A,62,02,2026000110,01,해당지역,74
0,2026000110,084.9621A,0,02,2026000110,02,기타지역,0
56.5,2026000110,084.8884B,53,03,2026000110,01,해당지역,61
0,2026000110,084.8884B,0,03,2026000110,02,기타지역,0
-,2026000109,084.7557 ,-,01,2026000109,01,해당지역,-
-,2026000109,084.7557 ,-,01,2026000109,02,기타지역,-
-,2026000109,089.9089 ,-,02,2026000109,01,해당지역,-
-,2026000109,089.9089 ,-,02,2026000109,02,기타지역,-
-,2026000109,105.7905 ,-,03,2026000109,01,해당지역,-
-,2026000109,105.7905 ,-,03,2026000109,02,기타지역,-
60.58,2026000107,059.9299A,56,01,2026000107,01,해당지역,65
0,2026000107,059.9299A,0,01,2026000107,02,기타지역,0
53.1,2026000107,059.8802B,45,02,2026000107,01,해당지역,64
0,2026000107,059.8802B,0,02,2026000107,02,기타지역,0
54.32,2026000107,059.9281C,48,03,2026000107,01,해당지역,69
0,2026000107,059.9281C,0,03,2026000107,02,기타지역,0
46.42,2026000107,084.9099A,37,04,2026000107,01,해당지역,64
0,2026000107,084.9099A,0,04,2026000107,02,기타지역,0
-,2026000107,084.9326B,-,05,2026000107,01,해당지역,-
-,2026000107,084.9326B,-,05,2026000107,02,기타지역,-
-,2026000107,084.9481C,-,06,2026000107,01,해당지역,-
-,2026000107,084.9481C,-,06,2026000107,02,기타지역,-
0,2026000107,084.8671D,0,07,2026000107,01,해당지역,0
49.33,2026000107,084.8671D,42,07,2026000107,02,기타지역,69
-,2026000107,114.9276A,-,08,2026000107,01,해당지역,-
-,2026000107,114.9276A,-,08,2026000107,02,기타지역,-
-,2026000107,114.9574B,-,09,2026000107,01,해당지역,-
-,2026000107,114.9574B,-,09,2026000107,02,기타지역,-
-,2026000107,162.7498A,-,10,2026000107,01,해당지역,-
-,2026000107,162.7498A,-,10,2026000107,02,기타지역,-
-,2026000107,162.3499B,-,11,2026000107,01,해당지역,-
-,2026000107,162.3499B,-,11,2026000107,02,기타지역,-
-,2026000107,170.5257A,-,12,2026000107,01,해당지역,-
-,2026000107,170.5257A,-,12,2026000107,02,기타지역,-
-,2026000107,170.3095B,-,13,2026000107,01,해당지역,-
-,2026000107,170.3095B,-,13,2026000107,02,기타지역,-
-,2026000107,225.6083 ,-,14,2026000107,01,해당지역,-
-,2026000107,225.6083 ,-,14,2026000107,02,기타지역,-
-,2026000107,250.5785 ,-,15,2026000107,01,해당지역,-
-,2026000107,250.5785 ,-,15,2026000107,02,기타지역,-
-,2026000107,260.5379 ,-,16,2026000107,01,해당지역,-
-,2026000107,260.5379 ,-,16,2026000107,02,기타지역,-
-,2026000105,084.0000A,-,01,2026000105,01,해당지역,-
-,2026000105,084.0000A,-,01,2026000105,02,기타지역,-
-,2026000105,115.0000A,-,02,2026000105,01,해당지역,-
-,2026000105,115.0000A,-,02,2026000105,02,기타지역,-
-,2026000105,134.5594 ,-,03,2026000105,01,해당지역,-
-,2026000105,134.5594 ,-,03,2026000105,02,기타지역,-
41.37,2026000104,084.0000A,35,01,2026000104,01,해당지역,64
0,2026000104,084.0000A,0,01,2026000104,02,기타지역,0
-,2026000104,084.9913C,-,02,2026000104,01,해당지역,-
-,2026000104,084.9913C,-,02,2026000104,02,기타지역,-
-,2026000104,099.0000A,-,03,2026000104,01,해당지역,-
-,2026000104,099.0000A,-,03,2026000104,02,기타지역,-
-,2026000101,073.9154 ,-,01,2026000101,01,해당지역,-
-,2026000101,073.9154 ,-,01,2026000101,02,기타지역,-
-,2026000101,081.7466 ,-,02,2026000101,01,해당지역,-
-,2026000101,081.7466 ,-,02,2026000101,02,기타지역,-
-,2026000101,084.8637A,-,03,2026000101,01,해당지역,-
-,2026000101,084.8637A,-,03,2026000101,02,기타지역,-
-,2026000101,084.8927B,-,04,2026000101,01,해당지역,-
-,2026000101,084.8927B,-,04,2026000101,02,기타지역,-
66.04,2026000094,059.9116A,64,01,2026000094,01,해당지역,69
0,2026000094,059.9116A,0,01,2026000094,02,기타지역,0
66.5,2026000094,059.8054B,64,02,2026000094,01,해당지역,69
0,2026000094,059.8054B,0,02,2026000094,02,기타지역,0
69.29,2026000094,059.9537C,67,03,2026000094,01,해당지역,74
0,2026000094,059.9537C,0,03,2026000094,02,기타지역,0
65.05,2026000094,084.9634A,62,04,2026000094,01,해당지역,69
0,2026000094,084.9634A,0,04,2026000094,02,기타지역,0
65.18,2026000094,084.9995B,62,05,2026000094,01,해당지역,69
0,2026000094,084.9995B,0,05,2026000094,02,기타지역,0
65.57,2026000094,084.9712C,63,06,2026000094,01,해당지역,69
0,2026000094,084.9712C,0,06,2026000094,02,기타지역,0
60.47,2026000094,106.9502A,56,07,2026000094,01,해당지역,66
0,2026000094,106.9502A,0,07,2026000094,02,기타지역,0
55.28,2026000093,070.9692 ,46,01,2026000093,01,해당지역,69
0,2026000093,070.9692 ,0,01,2026000093,02,기타지역,0
45.81,2026000093,084.9785A,35,02,2026000093,01,해당지역,67
0,2026000093,084.9785A,0,02,2026000093,02,기타지역,0
54.49,2026000093,084.9702B,44,03,2026000093,01,해당지역,69
0,2026000093,084.9702B,0,03,2026000093,02,기타지역,0
57.86,2026000093,084.9571C,50,04,2026000093,01,해당지역,64
0,2026000093,084.9571C,0,04,2026000093,02,기타지역,0
-,2026000093,109.9600 ,-,05,2026000093,01,해당지역,-
-,2026000093,109.9600 ,-,05,2026000093,02,기타지역,-
-,2026000093,141.9559 ,-,06,2026000093,01,해당지역,-
-,2026000093,141.9559 ,-,06,2026000093,02,기타지역,-
-,2026000089,084.9828A,-,01,2026000089,01,해당지역,-
-,2026000089,084.9828A,-,01,2026000089,02,기타지역,-
-,2026000089,084.8256B,-,02,2026000089,01,해당지역,-
-,2026000089,084.8256B,-,02,2026000089,02,기타지역,-
-,2026000089,084.9271C,-,03,2026000089,01,해당지역,-
-,2026000089,084.9271C,-,03,2026000089,02,기타지역,-
-,2026000089,084.7928D,-,04,2026000089,01,해당지역,-
-,2026000089,084.7928D,-,04,2026000089,02,기타지역,-
-,2026000089,084.9839E,-,05,2026000089,01,해당지역,-
-,2026000089,084.9839E,-,05,2026000089,02,기타지역,-
-,2026000089,117.9680A,-,06,2026000089,01,해당지역,-
-,2026000089,117.9680A,-,06,2026000089,02,기타지역,-
-,2026000089,117.9647B,-,07,2026000089,01,해당지역,-
-,2026000089,117.9647B,-,07,2026000089,02,기타지역,-
-,2026000089,125.9243A,-,08,2026000089,01,해당지역,-
-,2026000089,125.9243A,-,08,2026000089,02,기타지역,-
57.41,2026000087,084.9904A,51,01,2026000087,01,해당지역,69
0,2026000087,084.9904A,0,01,2026000087,02,기타지역,0
42.29,2026000087,084.9263B,36,02,2026000087,01,해당지역,69
0,2026000087,084.9263B,0,02,2026000087,02,기타지역,0
43.11,2026000087,084.9403C,35,03,2026000087,01,해당지역,69
0,2026000087,084.9403C,0,03,2026000087,02,기타지역,0
-,2026000087,114.9039A,-,04,2026000087,01,해당지역,-
-,2026000087,114.9039A,-,04,2026000087,02,기타지역,-
-,2026000087,114.9508B,-,05,2026000087,01,해당지역,-
-,2026000087,114.9508B,-,05,2026000087,02,기타지역,-
-,2026000087,114.7078C,-,06,2026000087,01,해당지역,-
-,2026000087,114.7078C,-,06,2026000087,02,기타지역,-
-,2026000086,072.7578A,-,01,2026000086,01,해당지역,-
-,2026000086,072.7578A,-,01,2026000086,02,기타지역,-
-,2026000086,072.8526B,-,02,2026000086,01,해당지역,-
-,2026000086,072.8526B,-,02,2026000086,02,기타지역,-
-,2026000086,072.8920C,-,03,2026000086,01,해당지역,-
-,2026000086,072.8920C,-,03,2026000086,02,기타지역,-
-,2026000086,072.8938D,-,04,2026000086,01,해당지역,-
-,2026000086,072.8938D,-,04,2026000086,02,기타지역,-
0,2026000086,084.9631A,0,05,2026000086,01,해당지역,0
37.33,2026000086,084.9631A,32,05,2026000086,02,기타지역,47
45,2026000086,084.9637B,39,06,2026000086,01,해당지역,65
0,2026000086,084.9637B,0,06,2026000086,02,기타지역,0
-,2026000086,084.9789C,-,07,2026000086,01,해당지역,-
-,2026000086,084.9789C,-,07,2026000086,02,기타지역,-
-,2026000086,084.9924D,-,08,2026000086,01,해당지역,-
-,2026000086,084.9924D,-,08,2026000086,02,기타지역,-
-,2026000086,095.7927A,-,09,2026000086,01,해당지역,-
-,2026000086,095.7927A,-,09,2026000086,02,기타지역,-
-,2026000086,095.7890B,-,10,2026000086,01,해당지역,-
-,2026000086,095.7890B,-,10,2026000086,02,기타지역,-
62.25,2026000085,084.3746A,58,01,2026000085,01,해당지역,73
0,2026000085,084.3746A,0,01,2026000085,02,기타지역,0
69.2,2026000085,084.9824B,65,02,2026000085,01,해당지역,79
0,2026000085,084.9824B,0,02,2026000085,02,기타지역,0
-,2026000085,105.9633A,-,03,2026000085,01,해당지역,-
-,2026000085,105.9633A,-,03,2026000085,02,기타지역,-
-,2026000085,105.6430B,-,04,2026000085,01,해당지역,-
-,2026000085,105.6430B,-,04,2026000085,02,기타지역,-
-,2026000085,105.5065C,-,05,2026000085,01,해당지역,-
-,2026000085,105.5065C,-,05,2026000085,02,기타지역,-
38.4,2026000082,039.9170A,36,01,2026000082,01,해당지역,46
0,2026000082,039.9170A,0,01,2026000082,02,기타지역,0
51.67,2026000082,039.9170B,46,02,2026000082,01,해당지역,64
0,2026000082,039.9170B,0,02,2026000082,02,기타지역,0
61.42,2026000082,059.9263 ,56,03,2026000082,01,해당지역,69
0,2026000082,059.9263 ,0,03,2026000082,02,기타지역,0
67,2026000082,084.9899A,63,04,2026000082,01,해당지역,74
0,2026000082,084.9899A,0,04,2026000082,02,기타지역,0
66.53,2026000082,084.9902B,64,05,2026000082,01,해당지역,70
0,2026000082,084.9902B,0,05,2026000082,02,기타지역,0
56,2026000082,084.9732C,51,06,2026000082,01,해당지역,67
0,2026000082,084.9732C,0,06,2026000082,02,기타지역,0
