house_manage_no,pblanc_no,house_type,model_no,reside_name,subscription_rank,supply_units,request_count,competition_rate
2026000152,2026000152,059.9000A,01,해당지역,1,169,206,1.22
2026000152,2026000152,059.9000A,01,기타지역,1,169,256,0.0
2026000152,2026000152,059.9000A,01,해당지역,2,169,32,0.0
2026000152,2026000152,059.9000A,01,기타지역,2,169,83,0.0
2026000152,2026000152,059.7700B,02,해당지역,1,47,63,1.34
2026000152,2026000152,059.7700B,02,기타지역,1,47,92,0.0
2026000152,2026000152,059.7700B,02,해당지역,2,47,17,0.0
2026000152,2026000152,059.7700B,02,기타지역,2,47,24,0.0
2026000152,2026000152,074.6300A,03,해당지역,1,161,91,70.0
2026000152,2026000152,074.6300A,03,기타지역,1,161,88,1.26
2026000152,2026000152,074.6300A,03,해당지역,2,161,23,0.0
2026000152,2026000152,074.6300A,03,기타지역,2,161,29,0.0
2026000152,2026000152,074.3000B,04,해당지역,1,64,63,1.0
2026000152,2026000152,074.3000B,04,기타지역,1,64,45,45.0
2026000152,2026000152,074.3000B,04,해당지역,2,64,7,0.0
2026000152,2026000152,074.3000B,04,기타지역,2,64,10,0.0
2026000152,2026000152,084.3400A,05,해당지역,1,34,82,2.41
2026000152,2026000152,084.3400A,05,기타지역,1,34,94,0.0
2026000152,2026000152,084.3400A,05,해당지역,2,34,26,0.0
2026000152,2026000152,084.3400A,05,기타지역,2,34,20,0.0
2026000152,2026000152,084.6000B,06,해당지역,1,22,17,5.0
2026000152,2026000152,084.6000B,06,기타지역,1,22,11,2.2
2026000152,2026000152,084.6000B,06,해당지역,2,22,11,0.0
2026000152,2026000152,084.6000B,06,기타지역,2,22,10,0.0
2026000150,2026000150,084.9563A,01,해당지역,1,212,1139,5.37
2026000150,2026000150,084.9563A,01,기타지역,1,212,132,0.0
2026000150,2026000150,084.9563A,01,해당지역,2,212,134,0.0
2026000150,2026000150,084.9563A,01,기타지역,2,212,52,0.0
2026000150,2026000150,084.9527B,02,해당지역,1,149,198,1.33
2026000150,2026000150,084.9527B,02,기타지역,1,149,21,0.0
2026000150,2026000150,084.9527B,02,해당지역,2,149,22,0.0
2026000150,2026000150,084.9527B,02,기타지역,2,149,13,0.0
2026000150,2026000150,111.1359 ,03,해당지역,1,149,797,5.35
2026000150,2026000150,111.1359 ,03,기타지역,1,149,81,0.0
2026000150,2026000150,111.1359 ,03,해당지역,2,149,63,0.0
2026000150,2026000150,111.1359 ,03,기타지역,2,149,15,0.0
2026000149,2026000149,084.9563A,01,해당지역,1,96,4634,48.27
2026000149,2026000149,084.9563A,01,기타지역,1,96,535,0.0
2026000149,2026000149,084.9563A,01,해당지역,2,96,0,0.0
2026000149,2026000149,084.9563A,01,기타지역,2,96,0,0.0
2026000149,2026000149,084.9527B,02,해당지역,1,39,1270,32.56
2026000149,2026000149,084.9527B,02,기타지역,1,39,180,0.0
2026000149,2026000149,084.9527B,02,해당지역,2,39,0,0.0
2026000149,2026000149,084.9527B,02,기타지역,2,39,0,0.0
2026000149,2026000149,111.1359 ,03,해당지역,1,244,3056,12.52
2026000149,2026000149,111.1359 ,03,기타지역,1,244,281,0.0
2026000149,2026000149,111.1359 ,03,해당지역,2,244,0,0.0
2026000149,2026000149,111.1359 ,03,기타지역,2,244,0,0.0
2026000146,2026000146,059.9174 ,01,해당지역,1,63,8,55.0
2026000146,2026000146,059.9174 ,01,기타지역,1,63,3,52.0
2026000146,2026000146,059.9174 ,01,해당지역,2,63,1,51.0
2026000146,2026000146,059.9174 ,01,기타지역,2,63,0,51.0
2026000146,2026000146,070.7905 ,02,해당지역,1,74,5,69.0
2026000146,2026000146,070.7905 ,02,기타지역,1,74,0,69.0
2026000146,2026000146,070.7905 ,02,해당지역,2,74,3,66.0
2026000146,2026000146,070.7905 ,02,기타지역,2,74,0,66.0
2026000143,2026000143,026.9146 ,01,해당지역,1,4,2,2.0
2026000143,2026000143,026.9146 ,01,기타지역,1,4,1,1.0
2026000143,2026000143,026.9146 ,01,해당지역,2,4,3,3.0
2026000143,2026000143,026.9146 ,01,기타지역,2,4,1,0.0
2026000143,2026000143,046.7967 ,02,해당지역,1,1,0,1.0
2026000143,2026000143,046.7967 ,02,기타지역,1,1,1,1.0
2026000143,2026000143,046.7967 ,02,해당지역,2,1,1,0.0
2026000143,2026000143,046.7967 ,02,기타지역,2,1,2,0.0
2026000143,2026000143,059.8551A,03,해당지역,1,35,3,32.0
2026000143,2026000143,059.8551A,03,기타지역,1,35,7,25.0
2026000143,2026000143,059.8551A,03,해당지역,2,35,1,24.0
2026000143,2026000143,059.8551A,03,기타지역,2,35,3,21.0
2026000143,2026000143,059.8387B,04,해당지역,1,2,0,2.0
2026000143,2026000143,059.8387B,04,기타지역,1,2,3,1.5
2026000143,2026000143,059.8387B,04,해당지역,2,2,0,0.0
2026000143,2026000143,059.8387B,04,기타지역,2,2,0,0.0
2026000143,2026000143,074.9777 ,05,해당지역,1,8,1,7.0
2026000143,2026000143,074.9777 ,05,기타지역,1,8,1,6.0
2026000143,2026000143,074.9777 ,05,해당지역,2,8,2,4.0
2026000143,2026000143,074.9777 ,05,기타지역,2,8,0,4.0
2026000130,2026000130,069.7157A,01,해당지역,1,8,2,6.0
2026000130,2026000130,069.7157A,01,기타지역,1,8,0,6.0
2026000130,2026000130,069.7157A,01,해당지역,2,8,1,5.0
2026000130,2026000130,069.7157A,01,기타지역,2,8,0,5.0
2026000130,2026000130,084.9163A,02,해당지역,1,4,1,3.0
2026000130,2026000130,084.9163A,02,기타지역,1,4,0,3.0
2026000130,2026000130,084.9163A,02,해당지역,2,4,2,1.0
2026000130,2026000130,084.9163A,02,기타지역,2,4,0,1.0
2026000130,2026000130,084.7589B,03,해당지역,1,4,0,4.0
2026000130,2026000130,084.7589B,03,기타지역,1,4,0,4.0
2026000130,2026000130,084.7589B,03,해당지역,2,4,0,4.0
2026000130,2026000130,084.7589B,03,기타지역,2,4,0,4.0
2026000130,2026000130,084.1386C,04,해당지역,1,4,1,3.0
2026000130,2026000130,084.1386C,04,기타지역,1,4,0,3.0
2026000130,2026000130,084.1386C,04,해당지역,2,4,1,2.0
2026000130,2026000130,084.1386C,04,기타지역,2,4,0,2.0
2026000130,2026000130,084.9333D,05,해당지역,1,4,0,4.0
2026000130,2026000130,084.9333D,05,기타지역,1,4,0,4.0
2026000130,2026000130,084.9333D,05,해당지역,2,4,0,4.0
2026000130,2026000130,084.9333D,05,기타지역,2,4,0,4.0
2026000130,2026000130,084.8300E,06,해당지역,1,2,0,2.0
2026000130,2026000130,084.8300E,06,기타지역,1,2,0,2.0
2026000130,2026000130,084.8300E,06,해당지역,2,2,0,2.0
2026000130,2026000130,084.8300E,06,기타지역,2,2,0,2.0
