house_manage_no,pblanc_no,house_type,model_no,total_special_request_count,CRSPAREA_LFE_FRST_CNT,CRSPAREA_MNYCH_CNT,CRSPAREA_NWBB_NWBBSHR_CNT,CRSPAREA_NWWDS_NMTW_CNT,CRSPAREA_OPS_CNT,CRSPAREA_YGMN_CNT,CTPRVN_LFE_FRST_CNT,CTPRVN_MNYCH_CNT,CTPRVN_NWBB_NWBBSHR_CNT,CTPRVN_NWWDS_NMTW_CNT,CTPRVN_OPS_CNT,CTPRVN_YGMN_CNT,ETC_AREA_LFE_FRST_CNT,ETC_AREA_MNYCH_CNT,ETC_AREA_NWBB_NWBBSHR_CNT,ETC_AREA_NWWDS_NMTW_CNT,ETC_AREA_OPS_CNT,ETC_AREA_YGMN_CNT,INSTT_RECOMEND_DCSN_CNT,INSTT_RECOMEND_PREPAR_CNT,TRANSR_INSTT_ENFSN_CNT
2026000156,2026000156,049.7500A,,50,30,0,0,8,0,0,0,0,0,0,0,0,9,0,0,2,0,0,1,0,0
2026000156,2026000156,059.8400A,,79,44,6,0,15,1,0,0,0,0,0,0,0,9,1,0,3,0,0,0,0,0
2026000152,2026000152,059.7700B,,106,30,0,0,10,0,0,0,0,0,0,0,0,48,0,0,18,0,0,0,0,0
2026000152,2026000152,059.9000A,,386,93,1,0,19,2,0,0,1,0,0,0,0,202,6,0,59,0,0,3,0,0
2026000152,2026000152,074.3000B,,44,13,0,0,11,0,0,0,0,0,0,0,0,4,1,0,15,0,0,0,0,0
2026000152,2026000152,074.6300A,,47,8,1,0,12,2,0,0,4,0,0,0,0,4,0,0,11,1,0,4,0,0
2026000152,2026000152,084.3400A,,40,5,5,0,11,0,0,0,2,0,0,0,0,7,0,0,9,0,0,0,1,0
2026000152,2026000152,084.6000B,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2026000150,2026000150,084.9527B,,11,6,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2026000150,2026000150,084.9563A,,34,15,3,0,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2026000150,2026000150,111.1359 ,,5,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2026000149,2026000149,084.9527B,,139,36,12,0,61,1,0,0,0,0,0,0,0,7,3,0,7,1,0,8,3,0
2026000149,2026000149,084.9563A,,218,68,32,0,69,2,0,0,0,0,0,0,0,7,8,0,13,0,0,10,9,0
2026000149,2026000149,111.1359 ,,32,0,21,0,0,3,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0
2026000146,2026000146,059.9174 ,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000146,2026000146,070.7905 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000143,2026000143,026.9146 ,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000143,2026000143,046.7967 ,,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026000143,2026000143,059.8387B,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000143,2026000143,059.8551A,,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
2026000143,2026000143,074.9777 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000133,2026000133,074.9469 ,,15,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2026000133,2026000133,075.9849 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000133,2026000133,084.8968C,,53,21,9,0,17,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
2026000133,2026000133,084.9630A,,229,78,29,0,96,0,0,0,0,0,0,0,0,8,1,0,16,0,0,1,0,0
2026000133,2026000133,084.9650B,,49,0,8,0,36,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
2026000129,2026000129,059.7714B,,181,111,1,0,24,3,0,0,0,0,0,0,0,38,0,0,3,0,0,1,0,0
2026000129,2026000129,059.9015A,,187,108,4,0,29,1,0,0,0,0,0,0,0,40,2,0,2,0,0,1,0,0
2026000129,2026000129,084.4529B,,136,32,21,0,53,1,0,0,0,0,0,0,0,11,3,0,13,0,0,2,0,0
2026000129,2026000129,084.6688A,,359,93,47,0,156,5,0,0,0,0,0,0,0,13,5,0,32,2,0,5,1,0
2026000129,2026000129,104.2229A,,20,0,16,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2026000129,2026000129,119.6029A,,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000127,2026000127,084.9982C,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2026000124,2026000124,074.5900A,,12,1,0,1,1,0,0,1,1,0,5,0,0,2,0,0,0,0,0,0,0,0
2026000124,2026000124,074.7200B,,11,1,0,2,3,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0
2026000124,2026000124,084.5600A,,19,1,0,0,2,0,0,1,0,5,2,0,0,2,2,2,2,0,0,0,0,0
2026000124,2026000124,084.5600B,,8,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0
2026000124,2026000124,084.9400C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000121,2026000121,084.8550B,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000121,2026000121,084.8958C,,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026000121,2026000121,084.9421A,,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026000121,2026000121,104.9032 ,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000115,2026000115,074.9524A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000115,2026000115,084.7657A,,68,14,10,0,38,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0
2026000115,2026000115,084.7696B,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026000114,2026000114,048.6543 ,,1690,1101,0,0,303,2,0,0,0,0,0,0,0,218,0,0,60,0,0,1,5,0
2026000114,2026000114,052.7960A,,1458,654,44,0,508,3,0,0,0,0,0,0,0,116,14,0,119,0,0,0,0,0
2026000114,2026000114,052.7960B,,49,0,12,0,24,0,0,0,0,0,0,0,0,0,2,0,9,0,0,1,1,0
2026000114,2026000114,052.7960C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000114,2026000114,059.2820B,,2196,1019,110,0,693,7,0,0,0,0,0,0,0,205,28,0,122,1,0,4,7,0
2026000114,2026000114,059.9880A,,1269,587,58,0,400,8,0,0,0,0,0,0,0,122,14,0,75,0,0,2,3,0
2026000113,2026000113,102.7378 ,,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000113,2026000113,102.7378P,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000113,2026000113,108.7178 ,,8,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
2026000113,2026000113,115.1988 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000113,2026000113,115.1988P,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000113,2026000113,116.4757T,,12,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000113,2026000113,118.1488 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000112,2026000112,059.9010 ,,31,8,1,0,2,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0
2026000112,2026000112,075.7218B,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026000112,2026000112,075.7753A,,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2026000112,2026000112,084.7677B,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000112,2026000112,084.7910A,,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
2026000110,2026000110,076.2548A,,234,111,9,0,80,1,0,0,0,0,0,0,0,16,1,0,12,0,0,4,0,0
2026000110,2026000110,084.8884B,,38,12,6,0,14,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
2026000110,2026000110,084.9621A,,540,182,54,0,234,4,0,0,0,0,0,0,0,17,4,0,37,2,0,6,0,0
2026000109,2026000109,084.7557 ,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026000109,2026000109,089.9089 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
