region_code,region_name,actual_count,zero_actual_count,nonzero_actual_count,zero_actual_rate,mae,rmse,mean_actual_score,mean_predicted_score,hurdle_mae_all,hurdle_rmse_all,hurdle_mae_nonzero,hurdle_rmse_nonzero,hurdle_region_bias,hurdle_mean_predicted_score,segment_soft_mae_all,segment_soft_rmse_all,segment_soft_mae_nonzero,segment_soft_rmse_nonzero,segment_soft_region_bias,segment_soft_mean_predicted_score,hybrid_mae_all,hybrid_rmse_all,hybrid_mae_nonzero,hybrid_rmse_nonzero,hybrid_region_bias,hybrid_mean_predicted_score,best_model_all,best_mae_all,best_model_nonzero,best_mae_nonzero,confidence_level,confidence_label,confidence_note
41,경기,9266,3376,5890,0.3643,11.3152,19.2711,29.1276,31.8707,11.3152,19.2711,12.1295,17.8842,-2.7431,31.8707,22.8464,30.8292,8.1745,10.9084,-19.4579,48.5854,10.9777,18.8605,11.7205,17.515,-2.1289,31.2565,hybrid,10.9777,segment_soft,8.1745,low,낮음,지역별 평균 오차가 8점을 넘어 보수적으로 해석해야 합니다.
11,서울,4492,2110,2382,0.4697,4.391,8.1677,31.1532,28.4541,4.391,8.1677,7.6541,9.9435,2.6991,28.4541,28.3398,36.6622,7.1108,9.0765,-21.9864,53.1396,4.2058,7.987,7.3024,9.6528,2.529,28.6242,hybrid,4.2058,segment_soft,7.1108,high,높음,지역별 평균 오차가 5점 이하라 비교적 안정적인 구간입니다.
28,인천,2580,778,1802,0.3016,7.324,12.9357,32.8047,36.4915,7.324,12.9357,8.2432,11.6475,-3.6868,36.4915,19.7549,28.0636,7.4017,9.9791,-16.8864,49.691,7.0596,12.4838,7.9311,11.1892,-3.0074,35.812,hybrid,7.0596,segment_soft,7.4017,medium,보통,지역별 평균 오차가 5~8점 수준이라 여유 점수를 두고 해석해야 합니다.
26,부산,1812,912,900,0.5033,4.3457,9.3276,22.4857,23.246,4.3457,9.3276,7.597,11.1979,-0.7603,23.246,28.3797,35.9305,7.1272,9.8395,-25.3805,47.8661,4.3477,9.1522,7.6362,11.0326,-0.4089,22.8945,hurdle,4.3457,segment_soft,7.1272,high,높음,지역별 평균 오차가 5점 이하라 비교적 안정적인 구간입니다.
27,대구,1304,654,650,0.5015,5.4508,11.3206,19.2837,21.9226,5.4508,11.3206,9.1155,13.5353,-2.6389,21.9226,28.9137,36.1801,8.4164,12.0819,-27.2194,46.5031,5.393,11.1107,8.9784,13.1446,-2.2733,21.557,hybrid,5.393,segment_soft,8.4164,medium,보통,지역별 평균 오차가 5~8점 수준이라 여유 점수를 두고 해석해야 합니다.
44,충남,1304,642,662,0.4923,8.5108,16.5847,20.3666,21.7994,8.5108,16.5847,10.6291,15.8785,-1.4328,21.7994,26.0961,32.5855,7.7986,10.2855,-22.6293,42.9959,8.4678,16.2804,10.767,15.8768,-0.6861,21.0527,hybrid,8.4678,segment_soft,7.7986,low,낮음,지역별 평균 오차가 8점을 넘어 보수적으로 해석해야 합니다.
48,경남,880,438,442,0.4977,5.7352,11.8693,21.8295,20.6063,5.7352,11.8693,8.7299,13.0053,1.2233,20.6063,25.184,31.5627,7.0593,8.8619,-20.6035,42.433,5.8733,11.8368,9.0384,13.0765,1.3253,20.5042,hurdle,5.7352,segment_soft,7.0593,medium,보통,지역별 평균 오차가 5~8점 수준이라 여유 점수를 두고 해석해야 합니다.
30,대전,756,378,378,0.5,4.1585,8.5883,22.2593,22.3486,4.1585,8.5883,7.2433,9.9653,-0.0894,22.3486,27.7799,35.1267,6.9724,9.0794,-24.0531,46.3124,4.2448,8.6455,7.4117,10.067,0.1495,22.1098,hurdle,4.1585,segment_soft,6.9724,high,높음,지역별 평균 오차가 5점 이하라 비교적 안정적인 구간입니다.
47,경북,684,340,344,0.4971,5.7166,11.7898,19.2924,19.0575,5.7166,11.7898,8.2703,11.929,0.2349,19.0575,24.4791,30.539,7.0523,8.7254,-20.6453,39.9377,5.8982,11.833,8.622,12.0305,0.2473,19.0451,hurdle,5.7166,segment_soft,7.0523,medium,보통,지역별 평균 오차가 5~8점 수준이라 여유 점수를 두고 해석해야 합니다.
29,광주,616,306,310,0.4968,4.385,8.8483,20.2045,21.545,4.385,8.8483,8.1608,11.4334,-1.3405,21.545,28.2323,35.6251,7.4929,10.2228,-25.8046,46.0091,4.2707,8.5691,7.9482,11.0629,-1.1904,21.3949,hybrid,4.2707,segment_soft,7.4929,high,높음,지역별 평균 오차가 5점 이하라 비교적 안정적인 구간입니다.
43,충북,608,304,304,0.5,4.7437,10.7196,21.1612,22.5855,4.7437,10.7196,7.288,10.7006,-1.4243,22.5855,26.7049,33.8054,6.6726,8.8888,-23.5856,44.7468,4.7257,10.4802,7.3078,10.4678,-0.6214,21.7825,hybrid,4.7257,segment_soft,6.6726,high,높음,지역별 평균 오차가 5점 이하라 비교적 안정적인 구간입니다.
52,전북,600,300,300,0.5,8.184,16.1136,22.28,23.0178,8.184,16.1136,9.8546,14.0617,-0.7378,23.0178,27.0698,33.7801,7.6498,9.3154,-22.4219,44.7019,8.2514,15.8609,10.2319,14.2628,-0.0048,22.2848,hurdle,8.184,segment_soft,7.6498,low,낮음,지역별 평균 오차가 8점을 넘어 보수적으로 해석해야 합니다.
51,강원,592,296,296,0.5,5.3753,10.817,21.5236,21.4611,5.3753,10.817,8.2553,11.4062,0.0625,21.4611,26.5617,32.9819,7.6784,9.493,-21.7195,43.2432,5.6145,10.7571,8.8757,11.7786,0.9984,20.5252,hurdle,5.3753,segment_soft,7.6784,medium,보통,지역별 평균 오차가 5~8점 수준이라 여유 점수를 두고 해석해야 합니다.
31,울산,556,276,280,0.4964,3.6997,7.8685,20.7086,21.1455,3.6997,7.8685,6.4262,9.0753,-0.4369,21.1455,24.8152,31.4997,6.2219,8.4978,-22.5839,43.2925,3.763,7.9342,6.5547,9.201,-0.8051,21.5137,hurdle,3.6997,segment_soft,6.2219,high,높음,지역별 평균 오차가 5점 이하라 비교적 안정적인 구간입니다.
36,세종,536,46,490,0.0858,11.7515,23.2938,56.5336,47.1444,11.7515,23.2938,12.8547,24.3626,9.3892,47.1444,8.9872,17.8882,4.5029,6.2615,-3.442,59.9756,11.6853,23.2675,12.7823,24.3351,9.5912,46.9424,segment_soft,8.9872,segment_soft,4.5029,low,낮음,지역별 평균 오차가 8점을 넘어 보수적으로 해석해야 합니다.
